card_id,card_name,issuer,field_name,value,unit,source_url,source_name,source_type,source_tier,retrieved_at,effective_from,effective_to,verification_status,evidence,notes
emirates-islamic-cashback-plus,Emirates Islamic Cashback Plus Credit Card,Emirates Islamic,reward_cap,200,AED per category per month,https://kredit.ae/credit-cards/emirates-islamic-cashback-plus-credit-card/details,Kredit UAE card database,secondary_comparison_site,5,2026-09-14T00:00:00Z,,,PARTIALLY_VERIFIED,Official page confirms a per-category cap exists but the table was not retrieved; the amount comes from secondary coverage.,
emirates-islamic-cashback-plus,Emirates Islamic Cashback Plus Credit Card,Emirates Islamic,reward_rate_tiers,3% / 5% / 10% by monthly spend band,,https://cardsmatcher.com/bank/emirates-islamic-cashback-plus-credit-card/,CardsMatcher,secondary_comparison_site,5,2026-09-14T00:00:00Z,,,PARTIALLY_VERIFIED,Official page confirms the rate is based on spend tiers; the band values come from secondary coverage.,
emirates-islamic-cashback-plus,Emirates Islamic Cashback Plus Credit Card,Emirates Islamic,annual_fee,299,AED,https://www.emiratesislamic.ae/en/cards/credit-cards/cashback-plus-card,Emirates Islamic official product page,official_product_page,1,2026-09-14T00:00:00Z,,,CONFLICTING,Official page states AED 299 for the primary cardholder; secondary coverage lists AED 313.95.,
emirates-islamic-cashback-plus,Emirates Islamic Cashback Plus Credit Card,Emirates Islamic,annual_fee_waiver,30000,AED per year,https://www.emiratesislamic.ae/en/terms-and-conditions/cashback-plus-credit-card-tc,Emirates Islamic official terms and conditions,official_terms,2,2026-09-14T00:00:00Z,,,VERIFIED,"Subsequent-year waiver requires a minimum annual spend of AED 30,000.",
emirates-islamic-cashback-plus,Emirates Islamic Cashback Plus Credit Card,Emirates Islamic,eligibility_min_salary,12000,AED per month,https://kredit.ae/credit-cards/emirates-islamic-cashback-plus-credit-card/details,Kredit UAE card database,secondary_comparison_site,5,2026-09-14T00:00:00Z,,,PARTIALLY_VERIFIED,,
emirates-islamic-cashback-plus,Emirates Islamic Cashback Plus Credit Card,Emirates Islamic,fx_fee,UNKNOWN,percentage,https://www.emiratesislamic.ae/en/terms-and-conditions/cashback-plus-credit-card-tc,not established,official_terms,2,2026-09-14T00:00:00Z,,,UNKNOWN,,
mashreq-cashback,Mashreq Cashback Credit Card,Mashreq,annual_fee,0,AED,https://www.mashreq.com/en/uae/neo/cards/credit-cards/cashback-credit-card/,Mashreq official product page,official_product_page,1,2026-09-14T00:00:00Z,,,VERIFIED,Official page states no annual fees for primary and supplementary cards.,
mashreq-cashback,Mashreq Cashback Credit Card,Mashreq,reward_cap,50,AED per merchant per month,https://www.mashreq.com/en/uae/neo/cards/credit-cards/cashback-credit-card/,Mashreq official product page,official_product_page,1,2026-09-14T00:00:00Z,,,VERIFIED,Official page states a maximum cashback of AED 50 per merchant per month.,
mashreq-cashback,Mashreq Cashback Credit Card,Mashreq,eligibility_min_salary,5000,AED per month,https://www.mashreq.com/en/uae/neo/cards/credit-cards/cashback-credit-card/,Mashreq official product page,official_product_page,1,2026-09-14T00:00:00Z,,,VERIFIED,"Official page states a minimum monthly income of AED 5,000.",
mashreq-cashback,Mashreq Cashback Credit Card,Mashreq,dining_cashback_rate,0.05,percentage,https://kredit.ae/credit-cards/mashreq-cashback-credit-card/details,Kredit UAE card database,secondary_comparison_site,5,2026-09-14T00:00:00Z,,,PARTIALLY_VERIFIED,,
mashreq-cashback,Mashreq Cashback Credit Card,Mashreq,low_category_rate,0.0015,percentage,https://www.mashreqalislami.com/en/uae/neo/cards/credit-cards/cashback-credit-card/,Mashreq Al Islami official product page,official_product_page,1,2026-09-14T00:00:00Z,,,CONFLICTING,"Islamic variant states 0.15% for government, utilities, education, charity, fuel, rental and telecom; secondary coverage of the conventional card states 0.33%.",
mashreq-cashback,Mashreq Cashback Credit Card,Mashreq,fx_fee,UNKNOWN,percentage,https://www.mashreq.com/en/uae/neo/cards/credit-cards/cashback-credit-card/,not established,official_product_page,1,2026-09-14T00:00:00Z,,,UNKNOWN,,
rakbank-world,RAKBANK World Credit Card,RAKBANK,reward_category,"travel, dining, groceries up to 10%",,https://www.rakbank.ae/en/cards/credit-cards/world-credit-card,RAKBANK official product page,official_product_page,1,2026-09-14T00:00:00Z,,,VERIFIED,"Official page advertises up to 10% cashback on travel, dining and groceries.",
rakbank-world,RAKBANK World Credit Card,RAKBANK,reward_cap,UNKNOWN,AED per month,https://www.rakbank.ae/en/cards/credit-cards/world-credit-card,not established,official_product_page,1,2026-09-14T00:00:00Z,,,UNKNOWN,Official FAQ confirms monthly cashback is capped but the cap table was not retrieved.,
rakbank-world,RAKBANK World Credit Card,RAKBANK,annual_fee,950,AED,https://www.skyscanner.ae/tips-and-inspiration/jet-set-save-earn-10-cashback-with-the-rakbank-world-credit-card,Skyscanner editorial coverage,secondary_editorial,5,2026-09-14T00:00:00Z,,,CONFLICTING,"States AED 950 from year two unless AED 100,000 annual spend; another secondary source states AED 997.50.",
rakbank-world,RAKBANK World Credit Card,RAKBANK,eligibility_min_salary,20000,AED per month,https://www.skyscanner.ae/tips-and-inspiration/jet-set-save-earn-10-cashback-with-the-rakbank-world-credit-card,Skyscanner editorial coverage,secondary_editorial,5,2026-09-14T00:00:00Z,,,PARTIALLY_VERIFIED,,
rakbank-world,RAKBANK World Credit Card,RAKBANK,min_monthly_spend,10000,AED per month,https://www.skyscanner.ae/tips-and-inspiration/jet-set-save-earn-10-cashback-with-the-rakbank-world-credit-card,Skyscanner editorial coverage,secondary_editorial,5,2026-09-14T00:00:00Z,,,PARTIALLY_VERIFIED,,
rakbank-world,RAKBANK World Credit Card,RAKBANK,fx_fee,UNKNOWN,percentage,https://www.rakbank.ae/en/cards/credit-cards/world-credit-card,not established,official_product_page,1,2026-09-14T00:00:00Z,,,UNKNOWN,,
hsbc-live-plus,HSBC Live+ Credit Card,HSBC UAE,reward_rate,0.06,percentage,https://www.hsbc.ae/credit-cards/products/live-plus/,HSBC UAE official product page,official_product_page,1,2026-09-14T00:00:00Z,,,VERIFIED,"Official page states 6% on dining, capped per statement cycle.",
hsbc-live-plus,HSBC Live+ Credit Card,HSBC UAE,reward_cap,200,AED per category per statement cycle,https://www.hsbc.ae/credit-cards/products/live-plus/,HSBC UAE official product page,official_product_page,1,2026-09-14T00:00:00Z,,,VERIFIED,Each cashback category is capped at AED 200 per statement cycle.,
hsbc-live-plus,HSBC Live+ Credit Card,HSBC UAE,min_monthly_spend,3000,AED per month,https://www.hsbc.ae/content/dam/hsbc/ae/docs/en/cards/cashback-credit-card-tncs.pdf,HSBC Live+ official terms and conditions,official_terms,2,2026-09-14T00:00:00Z,,,VERIFIED,"Official terms require a minimum retail spend of AED 3,000 per statement cycle to earn category cashback.",
hsbc-live-plus,HSBC Live+ Credit Card,HSBC UAE,annual_fee_waiver,12000,AED per year,https://www.hsbc.ae/credit-cards/products/live-plus/,HSBC UAE official product page,official_product_page,1,2026-09-14T00:00:00Z,,,VERIFIED,"No annual fee in year one, waived thereafter on at least AED 12,000 annual spend.",
hsbc-live-plus,HSBC Live+ Credit Card,HSBC UAE,annual_fee,UNKNOWN,AED,https://www.hsbc.ae/credit-cards/products/live-plus/,not established,official_product_page,1,2026-09-14T00:00:00Z,,,UNKNOWN,The fee amount charged when the waiver is not met was not stated on the retrieved official pages.,
hsbc-live-plus,HSBC Live+ Credit Card,HSBC UAE,fx_fee,UNKNOWN,percentage,https://www.hsbc.ae/credit-cards/products/live-plus/,not established,official_product_page,1,2026-09-14T00:00:00Z,,,UNKNOWN,,
hsbc-cash-plus,HSBC Cash+ Credit Card,HSBC UAE,reward_rate,0.01,percentage,https://www.hsbc.ae/credit-cards/products/cash-plus/,HSBC UAE official product page,official_product_page,1,2026-09-14T00:00:00Z,,,VERIFIED,Official page states 1% cashback every day on all purchases with no minimum spend or earning caps.,
hsbc-cash-plus,HSBC Cash+ Credit Card,HSBC UAE,reward_cap,none,AED,https://www.hsbc.ae/credit-cards/products/cash-plus/,HSBC UAE official product page,official_product_page,1,2026-09-14T00:00:00Z,,,VERIFIED,Official page states there are no earning caps.,
hsbc-cash-plus,HSBC Cash+ Credit Card,HSBC UAE,annual_fee,1000,AED,https://www.hsbc.ae/credit-cards/compare/cash-plus-credit-card/,HSBC UAE official comparison page,official_product_page,1,2026-09-14T00:00:00Z,,,VERIFIED,"Annual fee of AED 1,000, waived from the second year on a minimum spend of AED 24,000.",
hsbc-cash-plus,HSBC Cash+ Credit Card,HSBC UAE,annual_fee_waiver,24000,AED per year,https://www.hsbc.ae/credit-cards/compare/cash-plus-credit-card/,HSBC UAE official comparison page,official_product_page,1,2026-09-14T00:00:00Z,,,VERIFIED,"Waiver from the second year onwards subject to AED 24,000 minimum spend.",
hsbc-cash-plus,HSBC Cash+ Credit Card,HSBC UAE,fx_fee,UNKNOWN,percentage,https://www.hsbc.ae/credit-cards/products/cash-plus/,not established,official_product_page,1,2026-09-14T00:00:00Z,,,UNKNOWN,,
